2024-01-25 4:42:44 - PHP Notice:  Undefined variable: i in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1232
2024-01-25 4:42:44 - PHP Notice:  Undefined property: stdClass::$data_url_hire_1674 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1243
2024-01-25 4:42:44 - PHP Notice:  Undefined variable: name in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1260
2024-01-25 4:42:44 - PHP Notice:  Undefined variable: plate in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:42:44 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:42:44 - PHP Notice:  Undefined variable: plate in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:42:44 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:42:44 - PHP Notice:  Undefined variable: plate in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:42:44 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:42:44 - PHP Notice:  Undefined variable: plate in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:42:44 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:42:44 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 4:42:48 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 4:42:48 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1673 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1395
2024-01-25 4:42:48 - PHP Notice:  Undefined variable: another_information in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1231
2024-01-25 4:42:48 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1231
2024-01-25 4:42:48 - PHP Notice:  Undefined variable: i in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1232
2024-01-25 4:42:48 - PHP Notice:  Undefined property: stdClass::$data_url_hire_1673 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1243
2024-01-25 4:42:48 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1674 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1395
2024-01-25 4:42:48 - PHP Notice:  Undefined variable: another_information in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1231
2024-01-25 4:42:48 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1231
2024-01-25 4:42:48 - PHP Notice:  Undefined variable: i in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1232
2024-01-25 4:42:48 - PHP Notice:  Undefined property: stdClass::$data_url_hire_1674 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1243
2024-01-25 4:42:48 - PHP Notice:  Undefined variable: name in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1260
2024-01-25 4:42:48 - PHP Notice:  Undefined variable: plate in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:42:48 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:42:48 - PHP Notice:  Undefined variable: plate in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:42:48 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:42:48 - PHP Notice:  Undefined variable: plate in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:42:48 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:42:48 - PHP Notice:  Undefined variable: plate in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:42:48 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:42:48 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 4:43:48 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 4:43:48 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1673 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1395
2024-01-25 4:43:48 - PHP Notice:  Undefined variable: another_information in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1231
2024-01-25 4:43:48 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1231
2024-01-25 4:43:48 - PHP Notice:  Undefined variable: i in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1232
2024-01-25 4:44:01 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 4:44:01 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1673 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1395
2024-01-25 4:44:01 - PHP Notice:  Undefined variable: another_information in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1231
2024-01-25 4:44:01 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1231
2024-01-25 4:44:10 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 4:44:10 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1673 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1395
2024-01-25 4:44:10 - PHP Notice:  Undefined variable: another_information in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1231
2024-01-25 4:44:10 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1231
2024-01-25 4:44:10 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1674 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1395
2024-01-25 4:44:10 - PHP Notice:  Undefined variable: another_information in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1231
2024-01-25 4:44:10 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1231
2024-01-25 4:44:10 - PHP Notice:  Undefined variable: name in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1260
2024-01-25 4:44:10 - PHP Notice:  Undefined variable: plate in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:44:10 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:44:10 - PHP Notice:  Undefined variable: plate in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:44:10 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:44:10 - PHP Notice:  Undefined variable: plate in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:44:10 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:44:10 - PHP Notice:  Undefined variable: plate in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:44:10 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:44:10 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 4:44:34 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 4:44:34 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1673 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1395
2024-01-25 4:44:34 - PHP Notice:  Undefined variable: another_information in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1231
2024-01-25 4:44:34 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1231
2024-01-25 4:44:34 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1674 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1395
2024-01-25 4:44:34 - PHP Notice:  Undefined variable: another_information in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1231
2024-01-25 4:44:34 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1231
2024-01-25 4:44:34 - PHP Notice:  Undefined variable: name in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1260
2024-01-25 4:44:34 - PHP Notice:  Undefined variable: plate in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:44:34 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:44:34 - PHP Notice:  Undefined variable: plate in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:44:34 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:44:34 - PHP Notice:  Undefined variable: plate in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:44:34 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:44:34 - PHP Notice:  Undefined variable: plate in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:44:34 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:44:34 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 4:55:02 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 4:55:03 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1673 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1395
2024-01-25 4:55:03 - PHP Notice:  Undefined variable: another_information in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1231
